Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,"91,797.60","90,296.90","97,430.40","85,376.10",0.05K,-4.30%
31-Dec-17,"95,926.90","90,962.00","104,049.60","80,737.90",0.04K,15.25%
30-Dec-17,"83,231.40","99,381.40","104,106.20","80,779.70",0.15K,-16.25%
29-Dec-17,"99,381.40","96,586.70","106,826.30","94,215.90",0.07K,2.89%
28-Dec-17,"96,586.70","106,597.90","110,481.40","94,871.20",0.08K,-9.39%
27-Dec-17,"106,597.90","104,079.80","110,782.90","93,002.90",0.10K,2.42%
26-Dec-17,"104,079.80","89,953.90","106,873.30","89,440.30",0.06K,15.70%
25-Dec-17,"89,953.90","98,458.30","100,951.70","88,819.70",0.03K,-7.06%
24-Dec-17,"96,787.40","103,229.90","110,363.70","91,708.40",0.06K,-6.24%
23-Dec-17,"103,229.90","92,513.20","110,354.20","73,355.30",0.08K,11.58%
22-Dec-17,"92,513.20","106,375.20","115,579.80","73,238.80",0.39K,-13.03%
21-Dec-17,"106,375.20","108,989.50","122,037.40","102,712.80",0.16K,-2.40%
20-Dec-17,"108,989.50","118,267.00","130,868.70",0,0.17K,-7.84%
19-Dec-17,"118,267.00","125,013.80","136,076.70","117,287.30",0.17K,-5.40%
18-Dec-17,"125,013.80","129,964.80","132,804.80","117,874.40",0.09K,-3.81%
17-Dec-17,"129,964.80","122,437.60","132,739.90","117,388.30",0.06K,0.18%
16-Dec-17,"129,728.00","116,795.80","130,210.90","113,579.70",0.05K,11.07%
15-Dec-17,"116,795.80","111,830.80","122,720.30","105,403.70",0.09K,3.74%
14-Dec-17,"112,579.90","113,943.90","118,509.20","107,484.10",0.00K,-1.20%
13-Dec-17,"113,943.90","110,249.00","117,885.10","108,262.10",0.09K,-1.52%
12-Dec-17,"115,707.80","111,066.60","119,983.20","105,505.10",0.10K,4.18%
11-Dec-17,"111,066.60","105,993.70","114,980.70","90,531.30",0.12K,4.79%
10-Dec-17,"105,993.70","97,591.80","109,006.70","90,710.20",0.07K,8.61%
9-Dec-17,"97,591.80","106,166.50","115,278.60","91,552.70",0.08K,-8.08%
8-Dec-17,"106,166.50","97,497.00","115,315.50","87,413.90",0.18K,14.63%
7-Dec-17,"92,614.60","83,713.10","109,366.20","78,648.90",0.03K,2.70%
6-Dec-17,"90,178.50","77,270.30","90,205.20","76,088.40",0.18K,16.71%
5-Dec-17,"77,270.30","76,465.60","79,208.60","72,638.50",0.08K,1.05%
4-Dec-17,"76,465.60","74,314.80","77,759.60","70,545.70",0.12K,2.89%
3-Dec-17,"74,314.80","71,755.30","77,708.10","70,689.40",0.13K,2.12%
2-Dec-17,"72,773.80","72,813.70","75,420.10","64,006.80",0.07K,-0.05%
1-Dec-17,"72,813.70","67,754.40","74,534.90","60,066.70",0.13K,7.47%
30-Nov-17,"67,754.40","65,908.90","108,294.20","59,854.10",0.22K,2.80%
29-Nov-17,"65,908.90","67,404.40","152,441.10","63,651.20",0.24K,-2.22%
28-Nov-17,"67,404.40","64,909.60","68,499.70","61,847.20",0.12K,3.84%
27-Nov-17,"64,909.60","61,668.00","66,069.10","58,219.70",0.17K,5.66%
26-Nov-17,"61,434.20","58,504.00","62,660.70","55,798.50",0.09K,5.01%
25-Nov-17,"58,504.00","56,107.20","58,504.00","53,261.50",0.08K,4.27%
24-Nov-17,"56,107.20","53,694.20","58,484.60","53,061.00",0.07K,4.56%
23-Nov-17,"53,660.90","56,161.70","56,161.70","52,402.90",0.12K,-4.45%
22-Nov-17,"56,161.70","54,362.40","56,192.70","52,295.70",0.05K,3.31%
21-Nov-17,"54,362.40","54,407.80","55,701.60","53,083.40",0.12K,-0.08%
20-Nov-17,"54,407.80","55,117.20","55,633.30","52,783.00",0.09K,4.25%
19-Nov-17,"52,190.70","51,761.90","52,360.20","49,952.20",0.01K,0.83%
18-Nov-17,"51,761.90","51,339.00","52,619.10","49,921.90",0.03K,0.82%
17-Nov-17,"51,339.00","51,778.40","52,662.30","48,085.30",0.10K,-0.85%
16-Nov-17,"51,778.40","49,632.60","51,780.90","46,229.80",0.18K,4.32%
15-Nov-17,"49,632.60","46,892.80","49,648.60","44,989.90",0.10K,5.84%
14-Nov-17,"46,892.80","46,292.70","48,401.20","39,154.30",0.05K,1.30%
13-Nov-17,"46,292.70","41,699.00","48,532.20","38,679.20",0.22K,11.02%
12-Nov-17,"41,699.00","45,971.60","50,057.90","41,689.80",0.09K,-9.29%
11-Nov-17,"45,971.60","44,806.50","50,226.50","43,949.80",0.06K,2.60%
10-Nov-17,"44,806.50","47,226.50","50,734.00","43,937.80",0.12K,-5.12%
9-Nov-17,"47,226.50","50,406.80","51,925.60","47,189.90",0.09K,-6.31%
8-Nov-17,"50,406.80","48,325.60","51,880.60","46,734.20",0.09K,4.31%
7-Nov-17,"48,325.60","46,511.00","49,750.40","45,936.10",0.05K,3.90%
6-Nov-17,"46,511.00","49,037.90","50,308.40","46,124.00",0.10K,-5.15%
5-Nov-17,"49,037.90","50,115.00","50,392.00","47,653.60",0.05K,-2.15%
4-Nov-17,"50,115.00","48,230.90","52,599.00","47,028.70",0.04K,3.91%
3-Nov-17,"48,230.90","46,164.60","52,537.00","44,435.00",0.09K,6.23%
2-Nov-17,"45,401.40","44,845.40","50,412.00","40,976.90",0.00K,1.24%
1-Nov-17,"44,845.40","42,567.00","44,912.60","40,330.30",0.06K,5.35%
31-Oct-17,"42,567.00","40,531.10","42,790.90","38,461.80",0.05K,5.02%
30-Oct-17,"40,531.10","41,269.70","42,179.40","38,459.70",0.04K,-1.79%
29-Oct-17,"41,269.70","38,817.80","41,643.80","38,255.80",0.05K,6.32%
28-Oct-17,"38,817.80","38,770.90","39,963.90","38,234.10",0.01K,0.12%
27-Oct-17,"38,770.90","38,489.10","40,422.50","35,941.90",0.03K,-1.04%
26-Oct-17,"39,177.60","38,675.60","40,363.40","36,041.50",0.07K,1.30%
25-Oct-17,"38,675.60","37,694.20","39,400.50","36,806.40",0.05K,2.60%
24-Oct-17,"37,694.20","40,326.90","40,802.50","37,013.20",0.09K,-6.53%
23-Oct-17,"40,326.90","39,281.50","40,839.50","38,455.20",0.06K,2.66%
22-Oct-17,"39,281.50","39,893.10","41,156.10","38,881.70",0.03K,-1.53%
21-Oct-17,"39,893.10","39,727.30","41,169.50","37,317.70",0.04K,0.42%
20-Oct-17,"39,727.30","37,543.60","39,897.00","36,969.70",0.07K,5.82%
19-Oct-17,"37,543.60","37,458.30","38,363.70","35,307.40",0.03K,0.23%
18-Oct-17,"37,458.30","37,455.00","38,606.80","35,197.20",0.11K,0.01%
17-Oct-17,"37,455.00","37,889.80","38,759.30","36,989.20",0.04K,-1.36%
16-Oct-17,"37,972.00","37,703.70","38,580.70","36,154.80",0.03K,0.71%
15-Oct-17,"37,703.70","37,733.90","38,234.80","34,090.90",0.06K,-0.08%
14-Oct-17,"37,733.90","36,875.60","37,922.30","34,088.60",0.01K,2.33%
13-Oct-17,"36,875.60","35,442.90","38,564.70","31,454.50",0.08K,4.04%
12-Oct-17,"35,442.90","31,402.80","35,696.20","30,686.10",0.13K,12.87%
11-Oct-17,"31,402.80","30,967.20","34,061.90","30,627.20",0.06K,1.41%
10-Oct-17,"30,967.20","30,651.90","31,784.30","29,811.90",0.06K,-0.32%
9-Oct-17,"31,065.50","29,702.40","31,757.70","29,242.40",0.05K,4.59%
8-Oct-17,"29,702.40","29,235.70","30,349.70","28,877.80",0.03K,1.60%
7-Oct-17,"29,235.70","28,803.00","29,257.90","28,803.00",0.01K,1.50%
6-Oct-17,"28,803.00","28,945.60","29,253.70","27,687.80",0.04K,-0.49%
5-Oct-17,"28,945.60","28,338.80","28,975.30","27,659.70",0.05K,2.14%
4-Oct-17,"28,338.80","28,766.40","29,050.80","27,817.70",0.04K,-1.49%
3-Oct-17,"28,766.40","28,844.50","29,139.80","28,202.40",0.03K,-0.27%
2-Oct-17,"28,844.50","28,848.30","29,141.30","27,969.90",0.03K,-0.01%
1-Oct-17,"28,848.30","28,922.70","28,965.30","27,261.50",0.02K,-0.26%
30-Sep-17,"28,922.70","27,817.50","28,965.30","26,832.60",0.06K,3.97%
29-Sep-17,"27,817.50","27,880.40","28,362.60","26,717.50",0.08K,-0.23%
28-Sep-17,"27,880.40","28,062.70","28,345.20","26,032.60",0.05K,-0.65%
27-Sep-17,"28,062.70","25,692.90","28,069.40","25,616.50",0.11K,9.22%
26-Sep-17,"25,692.90","25,679.10","26,409.00","23,855.80",0.10K,0.05%
25-Sep-17,"25,679.10","24,347.90","26,272.00","23,401.60",0.09K,5.47%
24-Sep-17,"24,347.90","24,516.00","24,871.20","23,656.00",0.01K,-0.69%
23-Sep-17,"24,516.00","23,217.90","24,906.40","23,104.80",0.02K,5.59%
22-Sep-17,"23,217.90","24,372.00","26,653.30","23,095.50",0.08K,-4.74%
21-Sep-17,"24,372.00","25,629.60","26,377.90","23,574.00",0.10K,-4.91%
20-Sep-17,"25,629.60","25,730.90","27,361.30","25,123.30",0.10K,-0.39%
19-Sep-17,"25,730.90","26,828.80","27,457.80","23,955.10",0.09K,-4.09%
18-Sep-17,"26,828.80","23,774.00","27,293.60","23,016.20",0.15K,12.85%
17-Sep-17,"23,774.00","24,908.10","27,239.00","23,043.80",0.08K,-4.55%
16-Sep-17,"24,908.10","24,319.70","27,239.00","18,326.30",0.14K,2.42%
15-Sep-17,"24,319.70","20,442.50","25,875.30","18,212.70",0.35K,18.97%
14-Sep-17,"20,442.50","26,002.60","27,220.10","20,318.00",0.32K,-21.38%
13-Sep-17,"26,002.60","26,591.60","28,401.20","24,235.60",0.20K,-2.22%
12-Sep-17,"26,591.60","27,163.70","28,476.70","25,801.90",0.16K,-2.11%
11-Sep-17,"27,163.70","25,670.40","28,051.40","25,338.30",0.11K,1.20%
10-Sep-17,"26,842.70","26,629.50","28,195.40","25,468.40",-,0.80%
9-Sep-17,"26,629.50","26,953.20","30,519.30","26,538.60",0.09K,-1.20%
8-Sep-17,"26,953.20","30,263.30","32,490.20","26,538.20",0.31K,-10.94%
7-Sep-17,"30,263.30","29,879.60","32,480.50","29,113.10",0.09K,1.28%
6-Sep-17,"29,879.60","29,221.70","30,868.00","26,109.70",0.21K,2.25%
5-Sep-17,"29,221.70","27,509.30","31,131.40","26,043.90",0.18K,6.22%
4-Sep-17,"27,509.30","30,358.30","31,787.80","26,670.00",0.13K,-9.38%
3-Sep-17,"30,358.30","29,710.20","32,746.10","29,186.90",0.08K,2.18%
2-Sep-17,"29,710.20","32,270.90","33,429.30","29,666.00",0.09K,-7.94%
1-Sep-17,"32,270.90","31,277.30","33,010.90","29,814.50",0.10K,3.18%
31-Aug-17,"31,277.30","30,184.40","31,608.00","28,524.30",0.04K,3.62%
30-Aug-17,"30,184.40","30,259.50","31,179.80","28,516.30",0.04K,-0.25%
29-Aug-17,"30,259.50","29,029.00","31,190.80","27,734.50",0.05K,4.24%
28-Aug-17,"29,029.00","28,284.90","29,345.90","27,734.40",0.03K,2.63%
27-Aug-17,"28,284.90","31,286.40","31,286.40","28,261.80",0.01K,-9.59%
26-Aug-17,"31,286.40","29,034.80","31,552.50","28,213.30",0.03K,7.75%
25-Aug-17,"29,034.80","28,490.10","31,480.90","27,520.10",0.07K,1.91%
24-Aug-17,"28,490.10","27,724.30","28,701.90","27,068.90",0.04K,2.76%
23-Aug-17,"27,724.30","27,076.40","29,776.60","25,150.20",0.04K,2.39%
22-Aug-17,"27,076.40","27,325.90","28,091.20","25,133.10",0.17K,0.56%
21-Aug-17,"26,926.00","27,888.00","28,079.80","26,823.20",0.10K,-3.45%
20-Aug-17,"27,888.00","27,313.80","28,385.70","26,334.60",0.07K,2.10%
19-Aug-17,"27,313.80","28,900.80","29,024.60","26,284.10",0.07K,0.10%
18-Aug-17,"27,285.30","28,726.10","32,588.20","27,027.40",0.07K,-5.02%
17-Aug-17,"28,726.10","28,853.20","32,347.10","26,835.70",0.08K,-0.44%
16-Aug-17,"28,853.20","27,624.60","29,764.80","25,676.70",0.07K,4.45%
15-Aug-17,"27,624.60","28,188.50","30,057.20","25,619.90",0.09K,-2.00%
14-Aug-17,"28,188.50","25,908.40","30,016.80","25,310.40",0.07K,8.80%
13-Aug-17,"25,908.40","24,992.60","28,125.40","24,474.00",0.05K,3.66%
12-Aug-17,"24,992.60","24,891.10","26,258.90","22,593.30",0.06K,0.41%
11-Aug-17,"24,891.10","22,734.70","24,891.10","22,368.80",0.08K,9.48%
10-Aug-17,"22,734.70","22,959.50","23,035.50","21,780.90",0.03K,-0.98%
9-Aug-17,"22,959.50","23,138.60","23,435.00","21,880.00",0.05K,-0.77%
8-Aug-17,"23,138.60","22,939.50","23,486.80","19,607.10",0.07K,0.87%
7-Aug-17,"22,939.50","20,157.30","23,453.10","19,615.20",1.21K,13.81%
6-Aug-17,"20,156.10","20,061.20","20,301.20","19,219.90",0.10K,0.47%
5-Aug-17,"20,061.20","18,905.90","20,183.10","18,811.70",0.23K,6.11%
4-Aug-17,"18,905.90","18,641.70","19,272.80","18,223.10",0.14K,1.42%
3-Aug-17,"18,641.70","18,566.60","18,933.60","18,020.40",0.09K,0.40%
2-Aug-17,"18,566.60","19,183.30","20,063.50","18,013.90",0.04K,-3.21%
1-Aug-17,"19,183.30","19,199.10","19,210.90","17,995.00",0.00K,-0.08%
31-Jul-17,"19,199.10","18,207.90","19,216.90","17,938.10",0.00K,5.44%
30-Jul-17,"18,207.90","17,920.20","18,805.70","16,555.70",0.09K,1.61%
29-Jul-17,"17,920.20","18,684.60","18,926.50","16,477.40",0.04K,-4.09%
28-Jul-17,"18,684.60","17,828.00","18,804.20","16,730.20",0.54K,4.80%
27-Jul-17,"17,828.00","16,672.60","17,835.40","16,550.60",0.17K,6.93%
26-Jul-17,"16,672.60","17,146.00","18,664.60","16,365.40",0.05K,-2.76%
25-Jul-17,"17,146.00","18,405.60","18,713.90","16,360.70",0.08K,-6.84%
24-Jul-17,"18,405.60","17,946.00","18,642.20","17,113.20",0.05K,2.56%
23-Jul-17,"17,946.00","17,887.20","18,509.50","17,111.80",0.02K,0.33%
22-Jul-17,"17,887.20","17,653.30","18,509.40","16,443.30",0.02K,1.32%
21-Jul-17,"17,653.30","18,251.50","19,028.90","15,075.20",0.07K,-3.28%
20-Jul-17,"18,251.50","15,462.50","18,999.80","14,545.80",0.17K,18.04%
19-Jul-17,"15,462.50","15,154.50","16,047.20","14,108.70",0.04K,-2.75%
18-Jul-17,"15,899.50","14,757.30","16,419.90","13,278.30",0.05K,7.74%
17-Jul-17,"14,757.30","12,544.80","14,824.30","12,513.50",0.13K,17.64%
16-Jul-17,"12,544.80","13,908.30","15,385.90","12,506.00",0.11K,-9.80%
15-Jul-17,"13,908.30","15,385.90","16,892.70","13,908.30",0.14K,-9.60%
14-Jul-17,"15,385.90","16,819.90","17,009.90","15,287.40",0.06K,-8.53%
13-Jul-17,"16,819.90","16,508.70","17,020.60","15,766.30",0.07K,-0.24%
12-Jul-17,"16,859.70","16,107.10","17,816.10","15,938.40",0.04K,4.67%
11-Jul-17,"16,107.10","16,328.60","17,974.80","15,999.50",0.12K,-1.36%
10-Jul-17,"16,328.60","17,420.70","18,023.60","16,326.80",0.08K,-6.27%
9-Jul-17,"17,420.70","17,666.70","18,051.60","17,394.10",0.05K,-1.39%
8-Jul-17,"17,666.70","17,507.60","18,325.30","17,402.00",0.02K,0.91%
7-Jul-17,"17,507.60","17,819.60","18,328.30","17,420.20",0.04K,-1.75%
6-Jul-17,"17,819.60","18,367.70","18,715.10","17,563.70",0.03K,0.96%
5-Jul-17,"17,649.90","18,371.70","18,825.40","17,577.50",0.04K,-0.72%
4-Jul-17,"17,777.80","17,756.60","18,846.10","16,878.00",0.06K,0.12%
3-Jul-17,"17,756.60","17,192.30","18,362.80","16,275.00",0.07K,3.28%
2-Jul-17,"17,192.30","17,144.60","17,620.60","16,301.80",0.03K,0.28%
1-Jul-17,"17,144.60","17,619.30","18,088.00","15,822.50",0.03K,1.29%
30-Jun-17,"16,926.80","17,391.10","17,917.70","16,488.60",0.18K,-2.67%
29-Jun-17,"17,391.10","17,641.40","18,383.20","16,837.30",0.10K,-1.42%
28-Jun-17,"17,641.40","17,424.50","17,950.50","16,162.00",0.06K,1.24%
27-Jun-17,"17,424.50","17,234.70","18,804.30","16,157.40",0.12K,1.10%
26-Jun-17,"17,234.70","18,206.80","19,513.70","17,031.80",0.10K,-2.15%
25-Jun-17,"17,612.70","17,968.50","19,610.90","17,523.10",0.02K,-1.98%
24-Jun-17,"17,968.50","19,107.50","19,347.90","17,968.50",0.04K,-5.96%
23-Jun-17,"19,107.50","18,843.00","19,352.30","18,576.40",0.08K,1.40%
22-Jun-17,"18,843.00","18,540.60","19,567.50","18,038.70",0.11K,1.23%
21-Jun-17,"18,614.20","18,609.60","19,261.20","18,023.90",0.12K,0.02%
20-Jun-17,"18,609.60","18,262.30","19,176.70","17,489.50",0.07K,1.90%
19-Jun-17,"18,262.30","16,840.30","18,380.50","16,792.80",0.05K,8.44%
18-Jun-17,"16,840.30","17,896.50","19,732.40","16,835.00",0.03K,-5.90%
17-Jun-17,"17,896.50","17,167.20","19,735.30","16,106.20",0.06K,4.25%
16-Jun-17,"17,167.20","17,018.70","19,458.60","14,844.60",0.07K,3.03%
15-Jun-17,"16,661.70","19,153.70","20,663.00","14,863.30",0.27K,-13.01%
14-Jun-17,"19,153.70","19,805.20","20,665.70","17,655.10",0.11K,-3.29%
13-Jun-17,"19,805.20","19,176.20","20,765.80","18,347.50",0.06K,3.28%
12-Jun-17,"19,176.20","20,452.60","20,879.40","18,346.00",0.09K,-6.24%
11-Jun-17,"20,452.60","19,886.20","20,925.60","19,614.20",0.03K,2.43%
10-Jun-17,"19,968.20","19,839.30","20,490.50","19,432.50",0.03K,0.65%
9-Jun-17,"19,839.30","19,634.60","21,511.80","19,015.60",0.04K,1.04%
8-Jun-17,"19,634.60","19,812.70","20,274.10","18,470.00",0.06K,-1.54%
7-Jun-17,"19,941.60","19,879.00","20,922.30","18,880.20",0.09K,0.32%
6-Jun-17,"19,879.00","18,773.50","20,927.90","17,880.20",0.12K,5.89%
5-Jun-17,"18,773.50","18,282.20","18,773.70","17,191.40",0.05K,2.69%
4-Jun-17,"18,282.20","17,449.50","18,386.70","17,063.20",0.07K,4.77%
3-Jun-17,"17,449.50","17,167.60","18,496.90","17,063.20",0.06K,1.64%
2-Jun-17,"17,167.60","16,569.80","18,790.00","15,852.30",0.07K,3.61%
1-Jun-17,"16,569.80","16,144.20","19,086.80","15,330.40",0.12K,2.64%
31-May-17,"16,144.20","16,523.40","17,549.30","15,285.90",0.09K,-2.30%
30-May-17,"16,523.40","16,280.70","18,295.00","15,122.30",0.04K,1.49%
29-May-17,"16,280.70","15,362.50","18,319.50","14,694.20",0.07K,5.98%
28-May-17,"15,362.50","15,562.20","17,153.60","13,421.30",0.05K,-1.28%
27-May-17,"15,562.20","16,007.00","19,832.20","13,397.10",0.11K,-2.78%
26-May-17,"16,007.00","16,576.70","23,323.20","15,707.10",0.15K,-3.44%
25-May-17,"16,576.70","17,687.60","23,358.00","15,688.70",0.22K,-6.28%
