Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,"11,800.00","12,139.00","12,141.00","11,351.00",1.91K,-2.79%
31-Dec-17,"12,139.00","11,100.00","12,496.00","10,909.30",2.66K,9.36%
30-Dec-17,"11,100.00","12,880.80","12,920.00","10,550.00",3.60K,-13.82%
29-Dec-17,"12,880.80","12,699.00","13,099.00","12,574.50",2.60K,1.43%
28-Dec-17,"12,699.00","13,533.10","13,590.00","12,350.00",4.01K,-6.16%
27-Dec-17,"13,533.10","13,555.00","13,981.00","12,901.80",4.06K,-0.16%
26-Dec-17,"13,555.00","12,306.00","13,980.00","12,114.00",3.70K,10.15%
25-Dec-17,"12,306.00","12,507.70","13,115.00","12,000.00",2.58K,-1.61%
24-Dec-17,"12,507.70","13,247.70","13,249.00","11,130.00",5.13K,-5.59%
23-Dec-17,"13,247.70","12,709.80","14,465.30","12,150.00",6.06K,4.23%
22-Dec-17,"12,709.80","13,444.00","13,599.60","8,500.00",21.43K,-5.46%
21-Dec-17,"13,444.00","14,167.90","15,056.30","12,644.60",5.85K,-5.11%
20-Dec-17,"14,167.90","15,322.90","15,500.00","12,630.10",9.55K,-7.54%
19-Dec-17,"15,322.90","16,184.80","16,249.00","14,501.00",5.19K,-5.33%
18-Dec-17,"16,184.80","16,381.80","16,435.00","15,512.20",3.81K,-1.20%
17-Dec-17,"16,381.80","16,800.00","16,970.00","16,061.00",3.60K,-2.49%
16-Dec-17,"16,800.00","15,120.00","16,979.00","14,989.90",4.16K,11.11%
15-Dec-17,"15,120.00","14,123.00","15,298.20","14,123.00",4.32K,7.06%
14-Dec-17,"14,123.00","13,991.00","14,440.50","13,601.00",2.80K,0.94%
13-Dec-17,"13,991.00","14,649.50","14,730.00","13,057.00",5.32K,-4.50%
12-Dec-17,"14,649.50","13,919.50","14,840.60","13,703.10",6.45K,5.24%
11-Dec-17,"13,919.50","13,040.70","14,495.00","13,040.50",4.89K,6.74%
10-Dec-17,"13,040.70","12,926.20","13,600.00","11,500.00",7.68K,0.89%
