Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,"10,418.97","10,879.10","11,094.30","9,706.39",0.05K,-4.23%
31-Dec-17,"10,879.10","10,350.90","11,826.78","9,186.26",0.04K,13.73%
30-Dec-17,"9,565.93","11,309.47","11,840.88","9,187.76",0.14K,-15.42%
29-Dec-17,"11,309.47","11,000.79","12,078.90","10,681.17",0.07K,2.81%
28-Dec-17,"11,000.79","12,129.31","12,602.70","10,754.03",0.08K,-9.30%
27-Dec-17,"12,129.31","11,888.56","12,597.20","10,719.78",0.10K,2.03%
26-Dec-17,"11,888.56","10,236.00","12,207.56","10,219.72",0.06K,16.14%
25-Dec-17,"10,236.00","11,725.54","11,725.54","10,211.28",0.03K,-6.99%
24-Dec-17,"11,005.55","11,748.86","12,564.36","10,441.50",0.06K,-6.33%
23-Dec-17,"11,748.86","10,532.25","12,559.70","8,328.11",0.08K,11.55%
22-Dec-17,"10,532.25","12,070.24","13,072.67","8,397.98",0.39K,-12.74%
21-Dec-17,"12,070.24","12,387.34","13,878.41","11,661.81",0.16K,-2.56%
20-Dec-17,"12,387.34","13,375.38","14,893.74",0,0.17K,-7.39%
19-Dec-17,"13,375.38","14,121.76","15,375.64","13,245.75",0.17K,-5.29%
18-Dec-17,"14,121.76","14,755.98","15,080.93","13,317.49",0.09K,-4.30%
17-Dec-17,"14,755.98","13,732.36","15,072.07","13,505.77",0.06K,0.19%
16-Dec-17,"14,728.31","13,260.09","14,798.05","12,760.44",0.05K,11.07%
15-Dec-17,"13,260.09","12,323.91","13,924.84","11,902.43",0.09K,4.58%
14-Dec-17,"12,678.91","12,840.63","13,384.05","12,099.11",0.00K,-1.26%
13-Dec-17,"12,840.63","13,116.41","13,601.69","12,247.46",0.09K,0.48%
12-Dec-17,"12,779.63","12,571.02","13,587.25","11,950.24",0.01K,1.66%
11-Dec-17,"12,571.02","11,955.13","13,024.75","10,308.32",0.12K,5.15%
10-Dec-17,"11,955.13","10,961.77","12,298.81","10,242.62",0.07K,9.06%
9-Dec-17,"10,961.77","11,988.83","12,762.53","10,332.63",0.08K,-8.57%
8-Dec-17,"11,988.83","11,605.76","13,017.82","9,883.26",0.18K,15.48%
7-Dec-17,"10,382.15","9,082.84","12,253.71","8,798.36",0.15K,5.43%
6-Dec-17,"9,847.52","8,705.11","10,191.41","8,558.34",0.16K,13.12%
5-Dec-17,"8,705.11","8,572.71","8,916.74","8,157.71",0.08K,1.54%
4-Dec-17,"8,572.71","8,307.71","8,733.60","7,888.09",0.12K,3.19%
3-Dec-17,"8,307.71","8,097.39","8,731.08","7,917.27",0.13K,1.76%
2-Dec-17,"8,164.09","8,170.73","8,460.97","7,206.67",0.07K,-0.08%
1-Dec-17,"8,170.73","7,570.57","8,522.69","6,688.81",0.13K,7.93%
30-Nov-17,"7,570.57","7,433.67","17,112.29","6,722.35",0.22K,1.84%
29-Nov-17,"7,433.67","7,632.09","17,258.10","7,180.98",0.24K,-2.60%
28-Nov-17,"7,632.09","7,388.05","7,835.56","7,054.14",0.12K,3.30%
27-Nov-17,"7,388.05","6,890.21","7,502.24","6,679.32",0.17K,4.82%
26-Nov-17,"7,048.06","6,644.18","7,184.22","6,291.41",0.09K,6.08%
