Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,"1,587,760","1,656,187","1,694,063","1,476,679",0.05K,-4.13%
31-Dec-17,"1,656,187","1,576,459","1,802,971","1,399,025",0.04K,11.93%
30-Dec-17,"1,479,672","1,721,602","1,802,497","1,398,622",0.13K,-14.05%
29-Dec-17,"1,721,602","1,668,876","1,849,059","1,629,487",0.07K,3.16%
28-Dec-17,"1,668,876","1,841,033","1,912,085","1,622,267",0.08K,-9.35%
27-Dec-17,"1,841,033","1,800,062","1,914,526","1,608,896",0.10K,-0.41%
26-Dec-17,"1,848,630","1,550,994","1,848,630","1,547,276",0.06K,19.19%
25-Dec-17,"1,550,994","1,780,591","1,780,591","1,511,755",0.03K,-6.96%
24-Dec-17,"1,667,016","1,778,569","1,901,316","1,511,755",0.06K,-6.27%
23-Dec-17,"1,778,569","1,593,787","1,901,316","1,254,142",0.08K,11.59%
22-Dec-17,"1,593,787","1,830,241","1,993,563","1,260,284",0.39K,-12.92%
21-Dec-17,"1,830,241","1,875,889","2,105,416","1,768,900",0.16K,-2.43%
20-Dec-17,"1,875,889","2,022,145","2,242,397",0,0.17K,-7.23%
19-Dec-17,"2,022,145","2,126,783","2,315,512","1,996,292",0.17K,-4.92%
18-Dec-17,"2,126,783","2,214,558","2,262,222","2,006,446",0.09K,-3.96%
17-Dec-17,"2,214,558","2,052,465","2,262,287","1,997,852",0.06K,0.24%
16-Dec-17,"2,209,283","1,989,046","2,217,505","1,947,709",0.05K,11.07%
15-Dec-17,"1,989,046","1,942,726","2,131,322","1,796,235",0.09K,4.95%
14-Dec-17,"1,895,237","1,941,908","2,018,950","1,831,000",0.00K,-2.40%
13-Dec-17,"1,941,908","1,983,781","2,130,096","1,847,228",0.09K,0.46%
12-Dec-17,"1,933,007","1,905,039","2,140,086","1,817,204",0.01K,1.47%
11-Dec-17,"1,905,039","1,818,393","1,972,393","1,556,472",0.12K,4.76%
10-Dec-17,"1,818,393","1,673,591","1,868,058","1,555,838",0.07K,8.65%
9-Dec-17,"1,673,591","1,820,944","1,959,641","1,516,033",0.08K,-8.09%
8-Dec-17,"1,820,944","1,754,376","1,977,980","1,516,033",0.18K,15.24%
7-Dec-17,"1,580,145","1,365,653","1,870,080","1,337,650",0.13K,7.41%
6-Dec-17,"1,471,159","1,225,148","1,531,442","1,225,148",0.16K,20.08%
5-Dec-17,"1,225,148","1,299,437","1,439,675","1,225,148",0.08K,-5.72%
4-Dec-17,"1,299,437","1,264,456","1,326,766","1,196,299",0.12K,2.77%
3-Dec-17,"1,264,456","1,231,138","1,399,319","1,201,728",0.13K,2.52%
2-Dec-17,"1,233,381","1,234,384","1,278,231","1,084,108",0.07K,-0.08%
1-Dec-17,"1,234,384","1,153,536","1,354,617","1,018,747",0.13K,7.01%
30-Nov-17,"1,153,536","1,117,038","1,835,626","1,016,418",0.22K,3.27%
29-Nov-17,"1,117,038","1,138,710","2,570,511","1,058,304",0.24K,-1.90%
28-Nov-17,"1,138,710","1,093,657","1,154,135","1,041,355",0.12K,4.12%
27-Nov-17,"1,093,657","1,022,524","1,114,700","992,004",0.17K,4.30%
26-Nov-17,"1,048,567","988,444","1,068,771","942,856",0.09K,6.08%
25-Nov-17,"988,444","948,234","992,509","900,141",0.08K,4.24%
24-Nov-17,"948,234","907,265","986,503","898,187",0.07K,2.46%
23-Nov-17,"925,468","945,425","945,570","906,161",0.10K,-2.11%
22-Nov-17,"945,425","921,410","952,313","898,173",0.05K,2.61%
21-Nov-17,"921,410","923,098","944,850","900,330",0.12K,-0.18%
20-Nov-17,"923,098","934,460","944,226","893,333",0.09K,4.58%
19-Nov-17,"882,652","875,394","885,518","844,793",0.01K,0.83%
18-Nov-17,"875,394","868,099","889,744","844,136",0.03K,0.84%
17-Nov-17,"868,099","882,779","892,685","816,931",0.10K,-1.66%
16-Nov-17,"882,779","845,315","883,367","788,609",0.18K,4.43%
15-Nov-17,"845,315","801,679","847,555","770,153",0.10K,5.44%
14-Nov-17,"801,679","791,935","830,950","662,666",0.05K,1.23%
13-Nov-17,"791,935","714,078","828,713","665,116",0.22K,10.90%
12-Nov-17,"714,078","785,832","858,565","713,734",0.09K,-9.13%
11-Nov-17,"785,832","765,882","858,565","751,272",0.06K,2.60%
10-Nov-17,"765,882","806,632","866,885","751,096",0.12K,-5.05%
9-Nov-17,"806,632","866,073","890,715","806,285",0.09K,-6.86%
8-Nov-17,"866,073","827,687","890,823","807,321",0.09K,4.64%
7-Nov-17,"827,687","797,783","856,412","787,884",0.05K,3.75%
6-Nov-17,"797,783","844,983","865,141","791,010",0.10K,-5.59%
5-Nov-17,"844,983","861,002","865,634","818,642",0.05K,-1.86%
4-Nov-17,"861,002","828,976","889,949","789,065",0.04K,3.86%
3-Nov-17,"828,976","781,055","904,306","777,738",0.09K,2.86%
2-Nov-17,"805,927","775,693","869,998","707,769",0.09K,3.90%
1-Nov-17,"775,693","729,017","787,179","693,575",0.06K,6.40%
31-Oct-17,"729,017","689,863","733,024","687,718",0.05K,5.68%
30-Oct-17,"689,863","704,915","718,159","656,695",0.04K,-2.14%
29-Oct-17,"704,915","663,574","711,090","653,967",0.05K,6.23%
28-Oct-17,"663,574","662,773","681,126","652,498",0.01K,0.12%
27-Oct-17,"662,773","672,772","692,997","652,498",0.03K,0.90%
26-Oct-17,"656,882","661,909","692,724","617,153",0.01K,-0.76%
25-Oct-17,"661,909","647,263","675,796","630,626",0.05K,2.26%
24-Oct-17,"647,263","688,504","717,500","635,624",0.09K,-5.99%
23-Oct-17,"688,504","674,718","699,988","657,828",0.06K,2.04%
22-Oct-17,"674,718","683,720","705,573","666,582",0.03K,-1.32%
21-Oct-17,"683,720","680,935","705,656","642,202",0.04K,0.41%
20-Oct-17,"680,935","639,563","681,990","634,207",0.07K,6.47%
19-Oct-17,"639,563","638,945","652,154","595,464",0.03K,0.10%
18-Oct-17,"638,945","634,682","656,831","597,587",0.11K,0.67%
17-Oct-17,"634,682","646,682","656,551","628,475",0.04K,-1.86%
16-Oct-17,"646,682","640,736","657,214","613,343",0.03K,0.93%
15-Oct-17,"640,736","641,376","649,894","613,526",0.06K,-0.10%
14-Oct-17,"641,376","626,833","679,763","579,459",0.01K,2.32%
13-Oct-17,"626,833","603,830","679,763","535,514",0.08K,3.81%
12-Oct-17,"603,830","535,745","608,320","526,535",0.13K,12.71%
11-Oct-17,"535,745","529,605","579,834","522,659",0.06K,1.16%
10-Oct-17,"529,605","521,316","543,653","509,183",0.06K,1.52%
9-Oct-17,"521,692","502,668","539,816","497,525",0.04K,3.78%
8-Oct-17,"502,668","494,927","513,768","489,213",0.03K,1.56%
7-Oct-17,"494,927","487,560","495,221","482,922",0.01K,1.51%
6-Oct-17,"487,560","490,673","496,803","469,707",0.04K,-0.63%
5-Oct-17,"490,673","480,618","491,379","468,064",0.05K,2.09%
4-Oct-17,"480,618","487,987","491,477","472,229",0.04K,-1.51%
3-Oct-17,"487,987","489,139","495,358","478,978",0.03K,-0.24%
2-Oct-17,"489,139","488,197","493,590","473,007",0.03K,0.19%
1-Oct-17,"488,197","489,003","489,723","466,627",0.02K,-0.16%
30-Sep-17,"489,003","470,316","489,723","452,331",0.06K,3.97%
29-Sep-17,"470,316","470,544","478,241","440,686",0.08K,-0.05%
28-Sep-17,"470,544","476,947","479,015","420,000",0.05K,-1.34%
27-Sep-17,"476,947","434,942","477,009","420,000",0.11K,9.66%
26-Sep-17,"434,942","433,470","449,470","407,805",0.10K,0.34%
25-Sep-17,"433,470","414,530","443,388","396,764",0.09K,4.57%
24-Sep-17,"414,530","416,338","421,574","401,735",0.01K,-0.43%
23-Sep-17,"416,338","394,294","422,969","392,374",0.02K,5.59%
22-Sep-17,"394,294","415,909","454,851","383,071",0.08K,-5.20%
21-Sep-17,"415,909","438,642","450,326","402,797",0.10K,-5.18%
20-Sep-17,"438,642","436,101","452,873","406,024",0.10K,0.58%
19-Sep-17,"436,101","455,084","464,840","411,921",0.09K,-4.17%
18-Sep-17,"455,084","403,502","463,320","391,103",0.15K,12.78%
17-Sep-17,"403,502","421,285","453,675","389,877",0.08K,-4.22%
16-Sep-17,"421,285","411,332","460,707","309,962",0.14K,2.42%
15-Sep-17,"411,332","342,929","437,284","309,643",0.35K,19.95%
14-Sep-17,"342,929","439,264","452,732","340,963",0.32K,-21.93%
13-Sep-17,"439,264","448,767","478,742","413,917",0.20K,-2.12%
12-Sep-17,"448,767","455,000","478,932","427,359",0.16K,-1.37%
11-Sep-17,"455,000","425,296","469,489","423,337",0.11K,6.98%
10-Sep-17,"425,296","443,040","466,151","423,676",0.10K,-4.00%
9-Sep-17,"443,040","448,511","508,235","441,611",0.09K,-1.22%
8-Sep-17,"448,511","505,435","510,906","441,379",0.31K,-11.26%
7-Sep-17,"505,435","500,224","546,595","458,818",0.09K,1.04%
6-Sep-17,"500,224","485,331","513,146","433,306",0.21K,3.07%
5-Sep-17,"485,331","462,501","500,813","433,763",0.18K,4.94%
4-Sep-17,"462,501","509,136","533,057","448,345",0.13K,-9.16%
3-Sep-17,"509,136","499,205","585,203","490,638",0.08K,1.99%
2-Sep-17,"499,205","542,277","585,203","498,505",0.09K,-7.94%
1-Sep-17,"542,277","522,489","551,743","501,000",0.10K,3.79%
31-Aug-17,"522,489","505,626","528,648","478,000",0.04K,3.34%
30-Aug-17,"505,626","503,658","522,031","476,718",0.04K,0.39%
29-Aug-17,"503,658","477,876","515,583","456,538",0.05K,5.40%
28-Aug-17,"477,876","469,661","484,351","457,780",0.03K,1.75%
27-Aug-17,"469,661","514,764","514,764","467,486",0.01K,-8.76%
26-Aug-17,"514,764","478,010","519,142","464,485",0.03K,7.69%
25-Aug-17,"478,010","468,366","518,438","452,864",0.07K,2.06%
24-Aug-17,"468,366","453,553","471,958","444,567",0.04K,3.27%
23-Aug-17,"453,553","446,019","488,850","414,226",0.04K,1.69%
22-Aug-17,"446,019","446,634","464,207","412,566",0.17K,1.34%
21-Aug-17,"440,101","456,978","459,732","439,993",0.10K,-3.69%
20-Aug-17,"456,978","447,091","458,697","431,401",0.07K,2.21%
19-Aug-17,"447,091","444,090","478,081","430,219",0.07K,-5.40%
18-Aug-17,"472,613","470,166","528,676","442,379",0.01K,0.52%
17-Aug-17,"470,166","474,494","531,332","436,766",0.08K,-0.91%
16-Aug-17,"474,494","457,008","492,745","424,394",0.07K,3.83%
15-Aug-17,"457,008","464,508","492,632","424,136",0.09K,-1.61%
14-Aug-17,"464,508","424,424","493,492","418,000",0.07K,9.44%
13-Aug-17,"424,424","409,442","460,769","404,136",0.05K,3.66%
12-Aug-17,"409,442","407,736","430,205","372,097",0.06K,0.42%
11-Aug-17,"407,736","373,256","407,736","366,727",0.08K,9.24%
10-Aug-17,"373,256","378,630","403,650","360,402",0.03K,-1.42%
9-Aug-17,"378,630","379,813","410,703","359,964",0.05K,-0.31%
8-Aug-17,"379,813","406,790","410,703","326,756",0.07K,-6.63%
7-Aug-17,"406,790","330,195","406,790","323,171",1.21K,23.20%
6-Aug-17,"330,195","329,884","332,266","316,046",0.10K,0.09%
5-Aug-17,"329,884","310,886","331,889","292,055",0.23K,6.11%
4-Aug-17,"310,886","304,985","333,657","290,740",0.14K,1.93%
3-Aug-17,"304,985","306,007","330,636","296,203",0.09K,-0.33%
2-Aug-17,"306,007","314,656","332,053","295,993",0.04K,-2.75%
1-Aug-17,"314,656","315,083","315,175","314,141",0.00K,-0.14%
31-Jul-17,"315,083","298,744","316,191","278,208",0.00K,5.47%
30-Jul-17,"298,744","294,359","306,885","270,677",0.09K,1.49%
29-Jul-17,"294,359","306,935","310,884","270,677",0.04K,-4.10%
28-Jul-17,"306,935","293,883","308,900","277,260",0.54K,4.44%
27-Jul-17,"293,883","274,417","294,013","272,827",0.17K,7.09%
26-Jul-17,"274,417","284,481","309,739","269,445",0.05K,-3.54%
25-Jul-17,"284,481","303,279","309,434","271,189",0.08K,-6.20%
24-Jul-17,"303,279","296,284","304,382","280,943",0.05K,2.36%
23-Jul-17,"296,284","293,762","303,974","281,019",0.02K,0.86%
