Date,Price,Open,High,Low,Vol.,Change %
1-Jan-18,"18,655,000","19,208,000","19,296,000","18,362,000",10.24K,-2.88%
31-Dec-17,"19,208,000","18,271,000","19,500,000","18,200,000",13.14K,5.13%
30-Dec-17,"18,271,000","19,229,000","19,300,000","18,000,000",12.73K,-4.98%
29-Dec-17,"19,229,000","19,456,000","19,577,000","18,669,000",16.46K,-1.17%
28-Dec-17,"19,456,000","21,851,000","21,920,000","18,500,000",20.74K,-10.96%
27-Dec-17,"21,851,000","21,384,000","22,456,000","21,002,000",21.63K,2.18%
26-Dec-17,"21,384,000","19,338,000","21,995,000","19,215,000",28.38K,10.58%
25-Dec-17,"19,338,000","18,991,000","19,470,000","18,785,000",14.53K,1.83%
24-Dec-17,"18,991,000","19,157,000","19,250,000","17,544,000",15.70K,-0.87%
23-Dec-17,"19,157,000","18,300,000","19,637,000","17,880,000",19.28K,4.68%
22-Dec-17,"18,300,000","20,330,000","20,676,000","15,700,000",25.16K,-9.99%
21-Dec-17,"20,330,000","21,040,000","21,800,000","19,150,000",18.67K,-3.37%
20-Dec-17,"21,040,000","21,643,000","21,969,000","20,132,000",23.72K,-2.79%
19-Dec-17,"21,643,000","21,850,000","22,464,000","20,502,000",21.05K,-0.95%
18-Dec-17,"21,850,000","21,832,000","22,099,000","20,900,000",22.96K,0.08%
17-Dec-17,"21,832,000","22,111,000","22,884,000","20,975,000",25.47K,-1.26%
16-Dec-17,"22,111,000","20,031,000","22,505,000","19,850,000",24.12K,10.38%
15-Dec-17,"20,031,000","18,644,000","21,000,000","18,616,000",26.44K,7.44%
14-Dec-17,"18,644,000","18,220,000","19,400,000","18,092,000",22.04K,2.33%
13-Dec-17,"18,220,000","18,767,000","19,124,000","17,750,000",21.78K,-2.91%
12-Dec-17,"18,767,000","19,191,000","19,499,000","18,600,000",25.12K,-2.21%
11-Dec-17,"19,191,000","17,441,000","19,900,000","17,301,000",28.53K,10.03%
10-Dec-17,"17,441,000","17,751,000","18,290,000","13,911,000",35.12K,-1.75%
9-Dec-17,"17,751,000","20,050,000","20,267,000","15,420,000",38.26K,-11.47%
8-Dec-17,"20,050,000","23,880,000","24,979,000","16,297,000",29.39K,-16.04%
7-Dec-17,"23,880,000","18,517,000","23,956,000","18,000,000",32.15K,28.96%
6-Dec-17,"18,517,000","14,655,000","19,500,000","14,636,000",35.02K,26.35%
5-Dec-17,"14,655,000","13,599,000","14,803,000","13,558,000",29.49K,7.77%
4-Dec-17,"13,599,000","13,130,000","13,619,000","13,101,000",22.35K,3.57%
3-Dec-17,"13,130,000","12,878,000","13,456,000","12,741,000",25.53K,1.96%
2-Dec-17,"12,878,000","12,500,000","13,091,000","12,462,000",30.63K,3.02%
1-Dec-17,"12,500,000","11,944,000","12,580,000","11,210,000",40.46K,4.66%
30-Nov-17,"11,944,000","11,190,000","12,560,000","10,135,000",49.36K,6.74%
29-Nov-17,"11,190,000","11,945,000","13,550,000","10,700,000",42.96K,-6.32%
28-Nov-17,"11,945,000","11,242,000","11,949,000","11,096,000",33.87K,6.25%
27-Nov-17,"11,242,000","10,300,000","11,262,000","10,300,000",28.88K,9.15%
26-Nov-17,"10,300,000","9,801,000","10,756,000","9,730,000",34.65K,5.09%
25-Nov-17,"9,801,000","9,186,000","9,860,000","9,037,000",24.00K,6.59%
24-Nov-17,"9,195,000","8,859,000","9,630,000","8,847,000",25.94K,3.79%
23-Nov-17,"8,859,000","9,026,000","9,090,000","8,857,000",24.21K,-1.85%
22-Nov-17,"9,026,000","8,893,000","9,154,000","8,880,000",20.89K,1.50%
21-Nov-17,"8,893,000","8,901,000","9,069,000","8,550,000",25.06K,-0.09%
20-Nov-17,"8,901,000","8,753,000","9,031,000","8,662,000",22.67K,1.69%
19-Nov-17,"8,753,000","8,568,000","8,793,000","8,455,000",20.90K,2.16%
18-Nov-17,"8,568,000","8,504,000","8,635,000","8,300,000",29.27K,0.75%
17-Nov-17,"8,504,000","8,628,000","8,821,000","8,389,000",36.78K,-1.44%
16-Nov-17,"8,628,000","8,295,000","8,746,000","8,150,000",39.49K,4.01%
15-Nov-17,"8,295,000","7,530,000","8,365,000","7,526,000",44.50K,10.16%
14-Nov-17,"7,530,000","7,430,000","7,638,000","7,400,000",25.91K,1.35%
13-Nov-17,"7,430,000","6,900,000","7,875,000","6,870,000",52.14K,7.68%
12-Nov-17,"6,900,000","7,173,000","7,455,000","6,430,000",40.72K,-3.81%
11-Nov-17,"7,173,000","7,461,000","7,869,000","7,000,000",39.82K,-3.86%
10-Nov-17,"7,461,000","8,196,000","8,259,000","7,225,000",46.91K,-8.97%
9-Nov-17,"8,196,000","8,325,000","8,327,000","8,010,000",28.81K,-1.55%
8-Nov-17,"8,325,000","8,210,000","8,699,000","8,120,000",29.38K,1.40%
7-Nov-17,"8,210,000","8,050,000","8,331,000","8,050,000",17.08K,1.99%
6-Nov-17,"8,050,000","8,429,000","8,446,000","8,033,000",23.67K,-4.50%
5-Nov-17,"8,429,000","8,320,000","8,627,000","8,254,000",21.03K,1.31%
4-Nov-17,"8,320,000","8,102,000","8,397,000","7,600,000",18.59K,2.69%
3-Nov-17,"8,102,000","8,195,000","8,440,000","8,026,000",24.19K,-1.13%
2-Nov-17,"8,195,000","7,711,000","8,650,000","7,700,000",36.59K,6.28%
1-Nov-17,"7,711,000","7,389,000","7,719,000","7,241,000",26.07K,4.36%
31-Oct-17,"7,389,000","6,943,000","7,433,000","6,934,000",23.36K,6.42%
30-Oct-17,"6,943,000","6,933,000","6,990,000","6,820,000",16.78K,0.14%
29-Oct-17,"6,933,000","6,619,000","7,080,000","6,612,000",21.83K,4.74%
28-Oct-17,"6,619,000","6,661,000","6,775,000","6,593,000",13.21K,-0.63%
27-Oct-17,"6,661,000","6,770,000","6,887,000","6,600,000",17.78K,-1.61%
26-Oct-17,"6,770,000","6,625,000","6,849,000","6,540,000",22.53K,2.19%
25-Oct-17,"6,625,000","6,387,000","6,646,000","6,181,000",24.99K,3.73%
24-Oct-17,"6,387,000","6,985,000","7,008,000","6,330,000",32.18K,-8.56%
