snapped_at,price,market_cap,total_volume
2013-04-28 00:00:00 UTC,1306348.9692,14487801973118.756,0.0
2013-04-29 00:00:00 UTC,1394387.3129,15470587797894.21,0.0
2013-04-30 00:00:00 UTC,1353162.9646,15018383629280.736,0.0
2013-05-01 00:00:00 UTC,1130568.3956,12551739913210.54,0.0
2013-05-02 00:00:00 UTC,1032936.145,11471530587340.344,0.0
2013-05-03 00:00:00 UTC,954232.0163,10600945161883.219,0.0
2013-05-04 00:00:00 UTC,1098142.9085,12203964133928.074,0.0
2013-05-05 00:00:00 UTC,1128375.8759,12544380287555.48,0.0
2013-05-06 00:00:00 UTC,1088534.7285,12106002918471.473,0.0
2013-05-07 00:00:00 UTC,1066319.6018,11863472019776.125,0.0
2013-05-08 00:00:00 UTC,1100924.168,12253010758798.0,0.0
2013-05-09 00:00:00 UTC,1097109.0707,12215102682266.73,0.0
2013-05-10 00:00:00 UTC,1144600.0865,12748727453449.975,0.0
2013-05-11 00:00:00 UTC,1124765.1196,12532948414806.71,0.0
2013-05-12 00:00:00 UTC,1117061.4664,12451912094201.59,0.0
2013-05-13 00:00:00 UTC,1147652.1403,12797928077341.42,0.0
2013-05-14 00:00:00 UTC,1083886.8611,12091056009190.434,0.0
2013-05-15 00:00:00 UTC,1111269.6925,12400491812047.488,0.0
2013-05-16 00:00:00 UTC,1150857.8127,12846536643617.635,0.0
2013-05-17 00:00:00 UTC,1202735.8662,13430440250227.066,0.0
2013-05-18 00:00:00 UTC,1200304.8371,13407555068511.637,0.0
2013-05-19 00:00:00 UTC,1193408.9966,13335360977801.516,0.0
2013-05-20 00:00:00 UTC,1189917.1145,13300239051468.025,0.0
2013-05-21 00:00:00 UTC,1203180.3471,13452849704346.09,0.0
2013-05-22 00:00:00 UTC,1210531.7541,13540160829134.73,0.0
2013-05-23 00:00:00 UTC,1234659.2174,13815064985604.385,0.0
2013-05-24 00:00:00 UTC,1301512.7608,14568450545254.578,0.0
2013-05-25 00:00:00 UTC,1291112.7016,14457428138134.662,0.0
2013-05-26 00:00:00 UTC,1305922.9438,14628752928006.03,0.0
2013-05-27 00:00:00 UTC,1269227.6509,14223345829200.729,0.0
2013-05-28 00:00:00 UTC,1263160.8193,14160222259942.652,0.0
2013-05-29 00:00:00 UTC,1295125.6707,14524283970940.928,0.0
2013-05-30 00:00:00 UTC,1262433.964,14163215081514.629,0.0
2013-05-31 00:00:00 UTC,1262921.8582,14174435053488.215,0.0
2013-06-01 00:00:00 UTC,1267074.5924,14227473768222.64,0.0
2013-06-02 00:00:00 UTC,1200438.0322,13485720853734.8,0.0
2013-06-03 00:00:00 UTC,1177653.3164,13236116684346.16,0.0
2013-06-05 00:00:00 UTC,1196029.7068,13449294255917.375,0.0
2013-06-06 00:00:00 UTC,1165902.8125,13115940275668.385,0.0
2013-06-07 00:00:00 UTC,1087469.71,12238465676568.25,0.0
2013-06-08 00:00:00 UTC,1057564.6764,11906089563626.52,0.0
2013-06-09 00:00:00 UTC,984610.3914,11089248382782.146,0.0
